"Sample_ID","Lactobacillus","Gardnerella","Bifidobacterium","Atopobium","Prevotella","Megasphaera","Aerococcus","Streptococcus","Anaerococcus","Dialister","Ureaplasma","Finegoldia","Clostridium","Shuttleworthia","Genus_Other","Staphylococcus","Chlamydia","Veillonella","Enterococcus","Campylobacter","Fusobacterium","Peptostreptococcus","Bacteroides"
"B41",1.21041412911084,63.6723507917174,0,15.613580998782,2.03258221680877,0,0.0685140073081608,7.1863580998782,7.11023142509135,0.510048721071864,0.0837393422655298,1.26370280146163,0,0,1.15712545676005,0,0,0,0,0.0152253349573691,0,0.0761266747868453,0
"B42",17.2055888223553,56.0022811519817,0,11.981750784146,3.16509837467921,4.0604505275164,3.67835757057314,0,0,0.479041916167665,0.26233247790134,0,0.838323353293413,0,2.3267750213858,0,0,0,0,0,0,0,0
"B43",99.4466403162055,0,0,0.0790513833992095,0,0,0,0,0,0.189723320158103,0.0316205533596838,0,0,0,0.25296442687747,0,0,0,0,0,0,0,0
"B44",98.5436893203884,0.320571533247848,0,0.164865359956036,0.164865359956036,0.0732734933137937,0.100751053306466,0.119069426634915,0,0,0.247298039934054,0,0.0366367466568969,0,0.228979666605605,0,0,0,0,0,0,0,0
"B45",97.6441220063968,1.96583196817224,0,0.20282393322412,0.0936110461034402,0,0.0546064435603401,0,0,0,0,0,0,0,0.0390046025431001,0,0,0,0,0,0,0,0
"B46",97.5008443093549,1.35089496791624,0,0,0.303951367781155,0,0.168861870989531,0,0.168861870989531,0.270178993583249,0,0,0,0.0675447483958122,0.168861870989531,0,0,0,0,0,0,0,0
"B47",60.9917024892532,37.8586424072778,0.199940017994602,0.139958012596221,0.259922023392982,0.139958012596221,0,0,0,0.139958012596221,0.0599820053983805,0.109967009897031,0,0,0.0999700089973008,0,0,0,0,0,0,0,0
"B48",99.3515516442798,0.277906438165818,0,0.150532654006484,0.127373784159333,0,0.0926354793886058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B49",99.4440270473328,0.157776108189331,0,0.0300525920360631,0.0601051840721262,0,0,0.0375657400450789,0.067618332081142,0,0,0,0,0,0.202854996243426,0,0,0,0,0,0,0,0
"B5",99.1473173291355,0.341073068345796,0,0.262363898727535,0.144300144300144,0,0,0,0,0,0.104945559491014,0,0,0,0,0,0,0,0,0,0,0,0
"B50",98.6174536009049,0.52788135238175,0,0.175960450793917,0.171770916251204,0,0.041895345427123,0.0251372072562738,0.238803468934601,0,0,0.121496501738657,0,0,0.0251372072562738,0,0,0,0,0,0.05446394905526,0,0
"B51",99.669551534225,0,0.0681877786519801,0.0891686336218201,0.0681877786519801,0,0.0262260687123,0.03147128245476,0,0,0,0.0472069236821401,0,0,0,0,0,0,0,0,0,0,0
"B52",99.3268890126019,0,0,0.0759147730148287,0.020243939470621,0.0657928032795182,0.0253049243382762,0.0303659092059315,0,0,0.20243939470621,0,0,0,0.253049243382762,0,0,0,0,0,0,0,0
"B54",99.233765404508,0.261796820126429,0,0.0766234595491986,0.16601749568993,0.057467594661899,0,0,0,0.0510823063661324,0.153246919098397,0,0,0,0,0,0,0,0,0,0,0,0
"B55",98.7930148947098,0.667693888032871,0.179763739085773,0.282485875706215,0,0,0.0770416024653313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B56",1.73830594184576,79.3173198482933,0.208596713021492,0.0442477876106195,5.46776232616941,0,0,0.689001264222503,6.1314791403287,1.73198482932996,0,2.42730720606827,0.0442477876106195,0,1.826801517067,0.176991150442478,0,0,0,0.195954487989886,0,0,0
"B57",99.6482516035589,0.227601903579557,0,0.0517277053589903,0,0,0.0724187875025864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B58",2.27714224044895,0.399309302827542,0.151090006475286,0.0971292898769696,0.280595726311245,0,0.0539607165983164,94.9384847830779,0.075545003237643,1.62961364126916,0,0,0,0,0.0431685732786531,0.0539607165983164,0,0,0,0,0,0,0
"B59",98.9787049109083,0.358539765319426,0,0.239026510212951,0.0869187309865276,0.0869187309865276,0.0651890482398957,0,0.0325945241199478,0,0.0434593654932638,0,0,0,0.108648413733159,0,0,0,0,0,0,0,0
"B6",99.0467161742245,0.421340917469848,0,0.168536366987939,0.168536366987939,0.0632011376204772,0.0474008532153579,0,0,0.0263338073418655,0,0,0,0.0474008532153579,0,0,0,0,0,0,0,0.0105335229367462,0
"B61",99.6471954269382,0.125044658806717,0,0.0669882100750268,0.0535905680600214,0,0.049124687388353,0,0,0,0.0357270453733476,0,0,0,0.0223294033583423,0,0,0,0,0,0,0,0
"B62",97.938667281531,0,0,0,0.807009453539313,0.0230574129582661,0,0,0.0230574129582661,0,0.539543463223426,0.308969333640766,0.00922296518330643,0,0.350472676965645,0,0,0,0,0,0,0,0
"B63",6.31478990266677,68.6476220621983,0,24.3728733085384,0.0553928938830419,0,0.0553928938830419,0.102872517211363,0,0.0870459761019229,0.0712194349924824,0.102872517211363,0,0,0.189918493313286,0,0,0,0,0,0,0,0
"B64",99.2357130449887,0.312662845231892,0,0.295292687163453,0.0521104742053153,0,0.0521104742053153,0,0,0,0.0521104742053153,0,0,0,0,0,0,0,0,0,0,0,0
"B65",98.7620357634113,0.478155498788236,0,0.137551581843191,0.0982511298879937,0,0,0,0,0,0.47160542346237,0,0,0,0,0.05240060260693,0,0,0,0,0,0,0
"B66",95.1867272268483,0.479434771637648,0,0.164017158718143,1.88619732525864,0.0441584658087308,0,0.0378501135503407,0.649760282614181,0.157708806459753,0.182942215493313,0.54882664647994,0.0126167045167802,0.0504668180671209,0.447893010345698,0,0,0.0504668180671209,0,0.100933636134242,0,0,0
"B67",99.7128620893506,0.152014187990879,0,0.118233257326239,0,0,0,0.0168904653323199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B68",99.1663579103372,0.154378164752377,0,0.0741015190811412,0.061751265900951,0.0247005063603804,0.0432258861306657,0,0.277880696554279,0,0,0.129677658391997,0,0,0.0679263924910461,0,0,0,0,0,0,0,0
"B69",79.0142974979379,0,0,6.64008798460269,12.6340390431674,0,0.0206213912565301,0,0.0412427825130602,1.64971130052241,0,0,0,0,0,0,0,0,0,0,0,0,0
"B70",2.58215962441315,0.219092331768388,94.3974960876369,0.140845070422535,0.28169014084507,0,0,0.625978090766823,0.28169014084507,0,1.04851330203443,0.2660406885759,0,0,0.156494522691706,0,0,0,0,0,0,0,0
"B71",99.5564932828109,0.254047537030658,0,0.0387530141233207,0.0602824664140544,0.0387530141233207,0,0,0.0129176713744402,0,0,0.0258353427488805,0.0129176713744402,0,0,0,0,0,0,0,0,0,0
